ID_venta,Fecha_venta,Marca,Modelo,Tipo,Capacidad_kg,Altura_m,Precio_USD,Provincia,Cliente_tipo,Año_fabricación,Horas_uso,Estado,Método_pago,Vendedor
VENT00001,2024-05-04,Yale,ERP030,eléctrico,2500.0,5.9,39112.42,Chubut,distribuidor,2023,3033.0,usado,leasing,Forklift Solutions
VENT00002,2024-06-28,Linde,E16,eléctrico,3500.0,5.3,28201.26,Santa Fe,distribuidor,2021,2804.0,reacondicionado,leasing,Grupo Industrial SA
VENT00003,2022-11-15,Linde,H25D,diésel,3500.0,4.7,32829.9,Mendoza,particular,2024,4370.0,reacondicionado,contado,Potencia SRL
VENT00004,2023-10-21,Toyota,TX30,gas,3000.0,5.0,42927.15,Buenos Aires,particular,2024,2829.0,usado,leasing,Autoelevadores Norte
VENT00005,2024-11-16,Toyota,TX30,gas,2000.0,3.3,39940.46,Santa Fe,particular,2024,0.0,nuevo,crédito,Potencia SRL
VENT00006,2024-10-07,Yale,GDP25UX,diésel,3500.0,3.5,17181.78,Córdoba,particular,2023,4526.0,usado,leasing,Potencia SRL
VENT00007,2024-06-04,Crown,SC 6000,diésel,1500.0,4.6,32600.71,Neuquén,distribuidor,2022,,nuevo,contado,Forklift Solutions
VENT00008,2023-12-29,Toyota,7FBEU18,gas,2500.0,4.2,23789.14,Córdoba,particular,2022,416.0,usado,leasing,Potencia SRL
VENT00009,2024-09-23,Yale,GLC050,gas,,4.3,24174.25,Mendoza,empresa,2024,3791.0,reacondicionado,leasing,Autoelevadores Norte
VENT00010,2024-03-23,Toyota,8FGCU25,gas,1500.0,4.2,28284.79,Salta,empresa,2022,,nuevo,crédito,Grupo Industrial SA
VENT00011,2025-03-08,Hyster,J40XN,eléctrico,2500.0,4.0,26152.35,Buenos Aires,empresa,2022,,usado,leasing,Potencia SRL
VENT00012,2023-08-19,Crown,RC 5500,eléctrico,1500.0,2.9,,Mendoza,particular,2021,0.0,nuevo,crédito,Grupo Industrial SA
VENT00013,2024-11-06,Toyota,7FBEU18,eléctrico,2000.0,5.9,31088.3,Santa Fe,particular,2021,600.0,usado,leasing,Logística Sur
VENT00014,2023-04-18,Crown,FC 5200,diésel,1500.0,3.3,25973.4,Tucumán,distribuidor,2024,0.0,nuevo,leasing,Logística Sur
VENT00015,2023-11-25,Toyota,7FBEU18,eléctrico,4000.0,6.0,28550.91,Mendoza,distribuidor,2023,,usado,leasing,Forklift Solutions
VENT00016,2023-04-19,Toyota,7FBEU18,eléctrico,2000.0,3.7,27669.39,Tucumán,empresa,2024,208.0,reacondicionado,leasing,Logística Sur
VENT00017,2023-02-08,Crown,RC 5500,diésel,4000.0,3.8,36952.63,Tucumán,empresa,2021,747.0,reacondicionado,leasing,Grupo Industrial SA
VENT00018,2025-05-01,Crown,SC 6000,eléctrico,,5.2,23358.73,Chubut,distribuidor,2023,4935.0,usado,leasing,Autoelevadores Norte
VENT00019,2023-10-08,Yale,GLC050,diésel,,2.8,,Mendoza,particular,2023,0.0,nuevo,contado,Logística Sur
VENT00020,2024-12-19,Yale,GLC050,gas,3500.0,5.6,18167.23,Buenos Aires,distribuidor,2024,483.0,usado,crédito,Grupo Industrial SA
